generator,split_seed,method,target,attained_quality,mean_length,samples,matched_feasible,matched_length,matched_saving_percent
gemma2_9b,74,rank_jensen_moment,0.35,0.3327350510651372,7263.945,5.09,True,6746.030130097134,-7.677328145811413
gemma2_9b,74,rank_jensen_moment,0.4,0.3610992361738507,12773.28,8.5625,True,9611.80518224475,-32.89158235952632
gemma2_9b,74,rank_jensen_moment,0.45,0.4191198799515543,29643.0725,20.1225,True,23315.030955810038,-27.141467477284344
gemma2_9b,74,rank_jensen_moment,0.5,0.49967359604308376,82824.5825,67.455,True,79395.70799806478,-4.318715190522382
gemma2_9b,74,rank_jensen_moment,0.55,0.5619901391013475,231123.4925,228.52,True,224928.76279484617,-2.7540851726481685
gemma2_9b,74,rank_jensen_moment,0.6,0.6085628753269253,510314.055,399.92,True,510103.4991068643,-0.04127709249286404
gemma2_9b,74,rank_empirical_moment,0.3,0.32318293121975555,5918.16,4.2075,True,5944.427593752413,0.4418860073259201
gemma2_9b,74,rank_empirical_moment,0.35,0.3327350510651372,7263.945,5.09,True,6746.030130097134,-7.677328145811413
gemma2_9b,74,rank_empirical_moment,0.4,0.3610992361738507,12773.28,8.5625,True,9611.80518224475,-32.89158235952632
gemma2_9b,74,rank_empirical_moment,0.45,0.4191198799515543,29643.0725,20.1225,True,23315.030955810038,-27.141467477284344
gemma2_9b,74,rank_empirical_moment,0.5,0.49967359604308376,82824.5825,67.455,True,79395.70799806478,-4.318715190522382
gemma2_9b,74,rank_empirical_moment,0.55,0.5619901391013475,231123.4925,228.52,True,224928.76279484617,-2.7540851726481685
gemma2_9b,74,rank_empirical_moment,0.6,0.6085628753269253,510314.055,399.92,True,510103.4991068643,-0.04127709249286404
gemma2_9b,74,shape_jensen_moment,0.3,0.32318293121975555,5918.16,4.2075,True,5944.427593752413,0.4418860073259201
gemma2_9b,74,shape_jensen_moment,0.35,0.3327350510651372,7263.945,5.09,True,6746.030130097134,-7.677328145811413
gemma2_9b,74,shape_jensen_moment,0.4,0.3610992361738507,12773.28,8.5625,True,9611.80518224475,-32.89158235952632
gemma2_9b,74,shape_jensen_moment,0.45,0.4191198799515543,29643.0725,20.1225,True,23315.030955810038,-27.141467477284344
gemma2_9b,74,shape_jensen_moment,0.5,0.49967359604308376,82824.5825,67.455,True,79395.70799806478,-4.318715190522382
gemma2_9b,74,shape_jensen_moment,0.55,0.5619901391013475,231123.4925,228.52,True,224928.76279484617,-2.7540851726481685
gemma2_9b,74,shape_jensen_moment,0.6,0.6085628753269253,510314.055,399.92,True,510103.4991068643,-0.04127709249286404
gemma2_9b,74,shape_empirical_moment,0.3,0.32318293121975555,5918.16,4.2075,True,5944.427593752413,0.4418860073259201
gemma2_9b,74,shape_empirical_moment,0.35,0.3327350510651372,7263.945,5.09,True,6746.030130097134,-7.677328145811413
gemma2_9b,74,shape_empirical_moment,0.4,0.3610992361738507,12773.28,8.5625,True,9611.80518224475,-32.89158235952632
