generator,reward_model,split_seed,price_per_million,policy,gain_factor,cost_beta,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,73,0.2,current_beta0,1.0,0.0,283,0.5282384565163821,0.5683201368868632,176752.7525,341.465,0.5329695863868632,0.8956428317774988,1.0
gemma3_4b,fsfairx_llama3_rm,73,0.2,current_beta1,1.0,1.0,283,0.5282384565163821,0.5683975037296575,177643.86,343.0775,0.5328687317296574,0.8765501936021399,0.9936793176855996
gemma3_4b,fsfairx_llama3_rm,73,0.2,current_beta2,1.0,2.0,283,0.5282384565163821,0.5684775568500242,178520.7925,344.62,0.5327733983500242,0.8585027798901789,0.9875083152596082
gemma3_4b,fsfairx_llama3_rm,73,0.2,top2_factor4_beta0,4.0,0.0,283,0.5282384565163821,0.61249797994728,608007.085,806.1275,0.49089656294727996,-7.069135748912308,1.0
gemma3_4b,fsfairx_llama3_rm,73,0.2,top2_factor4_beta2,4.0,2.0,283,0.5282384565163821,0.61249797994728,609578.01,807.5725,0.49058237794727994,-7.128613622233385,0.9921311190357059
gemma3_4b,fsfairx_llama3_rm,73,0.2,top2_factor1_beta2,1.0,2.0,283,0.5282384565163821,0.5754212789543317,243083.5625,416.755,0.5268045664543317,-0.27144749579699423,0.9887375070817902
gemma3_4b,fsfairx_llama3_rm,73,0.2,top2_factor0p25_beta2,0.25,2.0,283,0.5282384565163821,0.521754539708766,78882.5525,173.8175,0.505978029208766,-4.214086845251444,0.9809584747985193
gemma3_4b,fsfairx_llama3_rm,73,0.5,current_beta0,1.0,0.0,133,0.48134535886845525,0.5295658175636636,80325.215,174.5925,0.4894032100636636,1.6740269843155273,1.0
gemma3_4b,fsfairx_llama3_rm,73,0.5,current_beta1,1.0,1.0,133,0.48134535886845525,0.5300959563087198,80986.5125,175.86,0.48960270005871975,1.7154712387122262,0.9908144560928701
gemma3_4b,fsfairx_llama3_rm,73,0.5,current_beta2,1.0,2.0,133,0.48134535886845525,0.530561890300499,81587.48,177.0625,0.48976815030049903,1.7498436988868116,0.981915691852874
gemma3_4b,fsfairx_llama3_rm,73,0.5,top2_factor4_beta0,4.0,0.0,133,0.48134535886845525,0.590388807693733,345552.0,544.465,0.41761280769373305,-13.240503933505131,1.0
gemma3_4b,fsfairx_llama3_rm,73,0.5,top2_factor4_beta2,4.0,2.0,133,0.48134535886845525,0.5904110417321082,347833.6225,547.135,0.4164942304821082,-13.472889515087218,0.990367042327297
gemma3_4b,fsfairx_llama3_rm,73,0.5,top2_factor1_beta2,1.0,2.0,133,0.48134535886845525,0.5435604491463494,116778.44,233.7375,0.48517122914634936,0.7948285378481567,0.9842757175176707
gemma3_4b,fsfairx_llama3_rm,73,0.5,top2_factor0p25_beta2,0.25,2.0,133,0.48134535886845525,0.4754415258414336,36772.0025,88.48,0.4570555245914336,-5.046238387780883,0.9724942690539489
