split,method,divisor,config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,train_accuracy,train_chars,train_utility,fixed_n
79,shifted_exponential_calibrated_probability,600000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.36585365853658536,20836.219512195123,0.33112662601626014,45
79,selected_ucb,600000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.36585365853658536,20836.219512195123,0.33112662601626014,45
79,gaussian_calibrated_probability,700000.0,33,gaussian,bounded_identity,0.0,1000000.0,0.0,2.0,,0.3719512195121951,20634.189024390245,0.34247380662020904,49
79,shifted_exponential_calibrated_probability,700000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.3780487804878049,23638.871951219513,0.34427896341463415,49
79,selected_ucb,700000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.3780487804878049,23638.871951219513,0.34427896341463415,49
79,gaussian_calibrated_probability,800000.0,33,gaussian,bounded_identity,0.0,1000000.0,0.0,2.0,,0.38414634146341464,21829.213414634145,0.35685982469512195,53
79,shifted_exponential_calibrated_probability,800000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.39634146341463417,26521.01219512195,0.3631901981707317,53
79,selected_ucb,800000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.39634146341463417,26521.01219512195,0.3631901981707317,53
79,gaussian_calibrated_probability,900000.0,103,gaussian,bounded_identity,0.8,20.0,0.0,2.0,,0.39634146341463417,35787.243902439026,0.3565778590785908,57
79,shifted_exponential_calibrated_probability,900000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.3902439024390244,30219.926829268294,0.3566662059620596,57
79,selected_ucb,900000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.3902439024390244,30219.926829268294,0.3566662059620596,57
79,gaussian_calibrated_probability,1000000.0,110,gaussian,bounded_identity,0.8,20.0,10.0,2.0,,0.39634146341463417,37418.21951219512,0.358923243902439,60
