generator,reward_model,split_seed,price_per_million,fixed_n,fixed_net_utility,theory_net_utility,incumbent_net_utility,theory_gain_percent,incumbent_gain_percent,theory_minus_incumbent,theory_calls,incumbent_calls
granite42_8b,fsfairx_llama3_rm,73,10.0,8,0.26433313205541714,0.0530763396157176,0.27807371417955706,-79.92066329218608,5.198206527231412,-0.22499737456383945,77.3125,15.6775
granite42_8b,fsfairx_llama3_rm,74,0.1,512,0.5450779346681552,0.5203192294273924,0.5563416819320952,-4.542232159119779,2.066447116557262,-0.03602245250470282,916.89,426.53
granite42_8b,fsfairx_llama3_rm,74,0.2,252,0.5130199181105283,0.4557869713073477,0.5222903483115271,-11.156086690351458,1.807031242596227,-0.06650337700417941,754.675,296.6775
granite42_8b,fsfairx_llama3_rm,74,0.5,117,0.46340215528712747,0.36963173738947597,0.4750011134590187,-20.23521402043343,2.503000480156251,-0.10536937606954272,491.41,153.2675
granite42_8b,fsfairx_llama3_rm,74,1.0,59,0.4270668095048563,0.29828672167902825,0.4301512205915968,-30.154553095600296,0.7222315146233305,-0.13186449891256852,323.7175,84.025
granite42_8b,fsfairx_llama3_rm,74,2.0,38,0.37421738864476617,0.22927093564818143,0.38201834111147265,-38.73322229132924,2.0846044848310616,-0.1527474054632912,192.87,45.7725
granite42_8b,fsfairx_llama3_rm,74,5.0,12,0.3151982316962955,0.1353012762147882,0.31949919409566213,-57.074227388066156,1.3645261828469717,-0.18419791788087392,95.7375,20.425
granite42_8b,fsfairx_llama3_rm,74,10.0,8,0.2599448124509038,0.043651462869391346,0.2671984609771031,-83.20741142790227,2.7904571196508554,-0.22354699810771175,55.685,11.255
granite42_8b,fsfairx_llama3_rm,75,0.1,441,0.5627048860840483,0.5399316531896917,0.5729946536534724,-4.047100613047654,1.8286259501018591,-0.033063000463780634,925.1975,402.02
granite42_8b,fsfairx_llama3_rm,75,0.2,211,0.529528056764633,0.47335276697224665,0.5389322136611645,-10.608557766629424,1.7759506368727718,-0.06557944668891785,764.51,247.9675
granite42_8b,fsfairx_llama3_rm,75,0.5,90,0.473476259321443,0.38295442283805764,0.4898374776087667,-19.118558681931738,3.4555519870777935,-0.10688305477070909,507.695,130.64
granite42_8b,fsfairx_llama3_rm,75,1.0,63,0.4284805331749868,0.302870223079285,0.44508954050700406,-29.315289813739078,3.8762571566429407,-0.14221931742771904,355.85,81.4525
granite42_8b,fsfairx_llama3_rm,75,2.0,36,0.37643503415182666,0.22217200125509382,0.3932543247032182,-40.979988285180255,4.468046017366132,-0.17108232344812438,228.6475,45.325
granite42_8b,fsfairx_llama3_rm,75,5.0,14,0.31235343051992676,0.12162566101748805,0.31562797569240275,-61.06152546010572,1.0483461529541596,-0.1940023146749147,113.2275,20.735
granite42_8b,fsfairx_llama3_rm,75,10.0,8,0.25651307647276306,0.032024342441153736,0.26303766638666104,-87.5155127054296,2.543570099277482,-0.2310133239455073,62.135,11.64
granite42_8b,rm_mistral_7b,71,0.1,365,0.5643798334223513,0.5412611925402984,0.5630225630078979,-4.09629109918111,-0.24048882225700113,-0.021761370467599517,934.235,443.9925
granite42_8b,rm_mistral_7b,71,0.2,211,0.5258166062416529,0.4645340623449295,0.5288121224065392,-11.65473725425846,0.5696883912239125,-0.06427806006160969,815.385,316.6875
granite42_8b,rm_mistral_7b,71,0.5,122,0.4676175473633672,0.3712401210193188,0.48135945953727804,-20.610310046632463,2.9387075509449505,-0.11011933851795924,546.2575,180.4875
granite42_8b,rm_mistral_7b,71,1.0,57,0.42586849210459116,0.30165267212964963,0.4384561227251812,-29.16764735542698,2.9557553221144572,-0.13680345059553156,383.7,107.58
