generator,split,target_quality,adaptive_divisor_low,adaptive_divisor_high,adaptive_high_weight,target_reached_train,fixed_quality,adaptive_quality,quality_gap,fixed_chars,adaptive_chars,direct_char_saving_pct,matched_fixed_chars,matched_char_saving_pct
mistral_7b,34,0.5,2000000.0,5000000.0,0.13715189032315953,True,0.49866617088433357,0.5059276385085941,0.007261467624260554,129944.83773212202,104127.31822872779,19.86806090490212,140198.49548180343,25.728647892485675
mistral_7b,34,0.55,2000000.0,5000000.0,0.966085569519686,True,0.5487541943676766,0.5549469874674664,0.006192793099789817,257979.54663288908,202110.52645744546,21.656375826935818,274390.5348132543,26.342019561644662
mistral_7b,34,0.6,10000000.0,20000000.0,0.0135457670178324,True,0.5953415493604693,0.6011949887350285,0.005853439374559177,542028.4423112449,426017.2783648487,21.403150626509003,596865.6832134997,28.624263323166847
mistral_7b,35,0.3,75000.0,100000.0,0.3872692877638696,True,0.3185571054476095,0.3186885585709104,0.0001314531233008731,12245.889433451108,10029.262855256207,18.100984744643544,12266.078047838255,18.235781509447175
mistral_7b,35,0.35,200000.0,500000.0,0.12268632422973205,True,0.36657097965483465,0.370739473647286,0.004168493992451339,21632.25390839136,18643.224337630236,13.81746711840162,22492.614735950516,17.114019172558457
mistral_7b,35,0.4,200000.0,500000.0,0.8985779329360557,True,0.4105643790059525,0.4114969556435385,0.0009325766375860023,38947.680995572744,31508.10852597783,19.101451689615576,39342.47459667691,19.913251901447033
mistral_7b,35,0.45,500000.0,1000000.0,0.8569336930362935,True,0.45943868147279915,0.4572194162674046,-0.0022192652053945605,66691.42572810495,54461.179409134704,18.33855879589661,64946.25882424319,16.144239260159825
mistral_7b,35,0.5,1000000.0,2000000.0,0.9218655329887749,True,0.49797249028351337,0.5013554283708873,0.0033829380873739434,121630.95006941006,90736.67081692893,25.400014745302048,125550.15917554928,27.728748881905222
mistral_7b,35,0.55,2000000.0,5000000.0,0.8129642190286468,True,0.5500531239875082,0.5542172059396606,0.004164081952152454,244975.4961268016,193020.42606240435,21.208272209194675,262004.29278551138,26.329288726418064
mistral_7b,35,0.6,10000000.0,20000000.0,0.16933968520402898,True,0.6043416122140526,0.6135813313003026,0.009239719086249987,605498.5871295136,520522.95513955876,14.033993438828443,719221.8708000203,27.626929008629908
mistral_7b,36,0.3,75000.0,100000.0,0.0035940253382978774,True,0.31096731455963394,0.3194570554829708,0.008489740923336875,10125.34038444778,9372.7322228702,7.432917146504663,11248.507632516843,16.6757713194256
mistral_7b,36,0.35,200000.0,500000.0,0.09509500759104533,True,0.36509277135531804,0.37843263591719534,0.013339864561877302,19232.39899599246,18857.540714904488,1.949097879916497,22585.736710917576,16.50686025313905
mistral_7b,36,0.4,200000.0,500000.0,0.8875276784225725,True,0.4182172523939375,0.4211293902776414,0.0029121378837039247,35331.52626991671,33708.85620176156,4.592697342760364,36318.83787486293,7.186302827458575
mistral_7b,36,0.45,1000000.0,2000000.0,0.05130510074917546,True,0.4535887820248031,0.4704698543318493,0.016881072307046163,57081.83816176722,60296.890520621695,-5.63235603896141,71932.28510007288,16.17548304389874
mistral_7b,36,0.5,1000000.0,2000000.0,0.9510622328049051,True,0.4960093178230587,0.5053799189504053,0.009370601127346667,107500.79940634948,92719.52855400124,13.749917148500009,119765.93164152706,22.582718404828807
mistral_7b,36,0.55,2000000.0,5000000.0,0.852591157989281,True,0.545193434570447,0.5542196709737376,0.009026236403290588,217234.3484138173,193113.43647573717,11.103636286896656,250082.5217557712,22.780114691769473
mistral_7b,36,0.6,5000000.0,10000000.0,0.94665637287774,True,0.5944472315176457,0.5980524124195731,0.0036051809019274073,488850.88737968117,416060.0538762662,14.890191545644006,518865.3414999813,19.813481341134988
mistral_7b,37,0.3,50000.0,75000.0,0.5617301611810113,True,0.28818459468350843,0.29368562606078846,0.00550103137728003,9535.68886148653,7956.865512053391,16.55699312725912,10209.083486830168,22.060922292213238
mistral_7b,37,0.35,100000.0,200000.0,0.6742486067875735,True,0.33285738319567443,0.3366174920513292,0.0037601088556547535,16701.678245576164,12934.872481648084,22.553456655925025,17444.575632221942,25.851607087787034
mistral_7b,37,0.4,200000.0,500000.0,0.7365551347593654,True,0.3907617579272764,0.3891581283336542,-0.0016036295936222023,32137.961922566006,23922.946484897137,25.56171874701429,31508.361301157653,24.074291721359113
mistral_7b,37,0.45,1000000.0,2000000.0,0.008937133041128647,True,0.44719001178768386,0.44573836498031594,-0.0014516468073679234,63525.496433768014,47341.60668619883,25.476211373558623,61994.99144858817,23.63640097368389
