generator,reward_model,split_seed,price_per_million,policy,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent
gemma3_4b,fsfairx_llama3_rm,72,0.2,one_over_n,244,0.5325474026045639,0.5772488355009041,228235.6225,442.6025,0.5316017110009041,-0.17757885946576862
gemma3_4b,fsfairx_llama3_rm,72,0.2,one_over_n_plus_one,244,0.5325474026045639,0.5769450407102475,227464.5025,441.7925,0.5314521402102476,-0.20566477067762845
gemma3_4b,fsfairx_llama3_rm,72,0.2,record_then_smooth,244,0.5325474026045639,0.5759137040627903,224497.5775,438.215,0.5310141885627903,-0.2879018908504776
gemma3_4b,fsfairx_llama3_rm,72,0.2,current_mean_costse2,244,0.5325474026045639,0.5752930780483585,172395.8875,353.5325,0.5408139005483585,1.5522557998339948
gemma3_4b,fsfairx_llama3_rm,72,0.5,four_over_n,124,0.4878335831404347,0.5919711518091865,327993.6225,568.1,0.4279743405591865,-12.270422670760711
gemma3_4b,fsfairx_llama3_rm,72,0.5,four_over_n_plus_one,124,0.4878335831404347,0.5919711518091865,327391.5175,567.4675,0.4282753930591865,-12.20871053973808
gemma3_4b,fsfairx_llama3_rm,72,0.5,one_over_n,124,0.4878335831404347,0.547130306932682,110326.8875,262.52,0.49196686318268207,0.8472725505364653
gemma3_4b,fsfairx_llama3_rm,72,0.5,one_over_n_plus_one,124,0.4878335831404347,0.5467726778266003,109513.8125,261.6325,0.4920157715766003,0.8572981813270717
gemma3_4b,fsfairx_llama3_rm,72,0.5,record_then_smooth,124,0.4878335831404347,0.545415098423026,107192.7025,258.3525,0.49181874717302604,0.8169105552218888
gemma3_4b,fsfairx_llama3_rm,72,0.5,current_mean_costse2,124,0.4878335831404347,0.5417001461846734,79205.46,190.1475,0.5020974161846734,2.923913715086019
gemma3_4b,fsfairx_llama3_rm,72,1.0,four_over_n,63,0.44957610221082617,0.5701135038760183,191586.645,391.925,0.37852685887601834,-15.803607661843575
gemma3_4b,fsfairx_llama3_rm,72,1.0,four_over_n_plus_one,63,0.44957610221082617,0.5700152019555754,190982.0925,391.245,0.37903310945557545,-15.691001458562846
